action_type,assay_chembl_id,assay_type,bao_endpoint,bao_format,bao_label,molecule_chembl_id,parent_molecule_chembl_id,record_id,src_id,standard_flag,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,cleaned_smiles,InChIkey,IC50,PIC50
,CHEMBL643384,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL133897,CHEMBL133897,252547,1,1,=,IC50,nM,750.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,GUZKBNUSIOHJIR-UHFFFAOYSA-N,750.0,6.12494
,CHEMBL643384,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL336398,CHEMBL336398,252533,1,1,=,IC50,nM,100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,XWIIHZHUZCWNLW-UHFFFAOYSA-N,100.0,7.0
,CHEMBL643384,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL130628,CHEMBL130628,252534,1,1,=,IC50,nM,300.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,GTBUYLWBDILEPY-UHFFFAOYSA-N,300.0,6.52288
,CHEMBL643384,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL130478,CHEMBL130478,252552,1,1,=,IC50,nM,800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,FBOHEFQKBNWFPO-UHFFFAOYSA-N,800.0,6.09691
,CHEMBL643384,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL130112,CHEMBL130112,252551,1,1,=,IC50,nM,2400.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,AAXQEELWFXEVAH-UHFFFAOYSA-N,2400.0,5.61979
,CHEMBL643384,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL130098,CHEMBL130098,252525,1,1,=,IC50,nM,100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,BCRUIWHBJPICOM-UHFFFAOYSA-N,100.0,7.0
,CHEMBL643384,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL336538,CHEMBL336538,252527,1,1,=,IC50,nM,800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,RMOMJDZNOXKMFY-UHFFFAOYSA-N,800.0,6.09691
,CHEMBL643384,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL335033,CHEMBL335033,252542,1,1,=,IC50,nM,50.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,FCWFKSMUNCZMFT-UHFFFAOYSA-N,50.0,7.30103
,CHEMBL643384,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL338720,CHEMBL338720,252543,1,1,=,IC50,nM,560.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,YKUXAAJJGAYTRC-UHFFFAOYSA-N,560.0,6.25181
,CHEMBL643384,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL131536,CHEMBL131536,252531,1,1,=,IC50,nM,1400.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,AKOLSQVNOPLCPO-UHFFFAOYSA-N,1400.0,5.85387
